repo,username,type,name,timestamp,additions,deletions,total,message,userURL,repoURL
hubot,tombell,1,Tom Bell,2011-11-07T16:31:13Z,25,17,42,"Merge pull request #154 from pescuma/whitelist_gtalk

Ignore also direct messages in gtalk",https://github.com/tombell,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-06-05T15:10:20Z,232,7,239,Switch back to QUnit plugin to run tests (fixes #225),https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
hubot,atmos,1,Corey Donohoe,2011-11-07T22:16:31Z,21,3,24,version bump,https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-07T22:39:10Z,131,94,225,Merge remote-tracking branch 'origin/new-adapters',https://github.com/atmos,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-07T22:54:19Z,0,0,0,Move the most important script into new dir,https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-08T00:02:17Z,1,1,2,make npm install work again,https://github.com/atmos,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-08T11:26:03Z,11,4,15,Update to fix the robot name not getting passed through,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-08T12:14:42Z,0,7,7,Remove left over debug code,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-08T12:37:48Z,1,1,2,Update scripts path in the creator,https://github.com/tombell,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-08-15T19:47:36Z,186,53,239,"Move transaction pieces to components, finish core transaction views",https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-dashboard,daliwali,1,Dali Zheng,2013-10-18T01:14:54Z,145,94,239,"add modals on order page, refactor modals",https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
hubot,tombell,1,Tom Bell,2011-11-08T16:35:05Z,2,2,4,"Merge pull request #158 from markstory/xmpp-adapter-fix

Xmpp adapter fix",https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-08T19:57:36Z,3,3,6,make this happier with 0.6.0,https://github.com/atmos,https://github.com/balanced/hubot
active_merchant,External,-1,Stanislav Mekhonoshin,2012-07-24T14:43:22Z,238,0,238,"Add Paxum integration

https://www.paxum.com/payment_docs/page.php?name=apiIntroduction

Closes #416.",https://github.com/ntalbott,https://github.com/balanced/active_merchant
balanced-node,matthewfl,1,Matthew Francis-Landau,2013-05-31T20:46:27Z,238,0,238,started adding scenarios for the docs,https://github.com/matthewfl,https://github.com/balanced/balanced-node
balanced-api,matthewfl,1,Matthew Francis-Landau,2013-08-01T23:58:56Z,164,72,236,adding bank_account_verifications scenario and scripts to fix json files and run scenarios,https://github.com/matthewfl,https://github.com/balanced/balanced-api
hubot,tombell,1,Tom Bell,2011-11-09T11:15:39Z,1,0,1,"Merge pull request #165 from flowdock/master

Don't listen hubot's own messages with Flowdock adapter.",https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-09T11:16:05Z,1,1,2,"Merge pull request #164 from agrieser/master

process.ARGV not defined in node 0.6",https://github.com/tombell,https://github.com/balanced/hubot
billy,victorlin,1,Victor Lin,2013-08-22T11:36:55Z,235,0,235,Add plan API and tests,https://github.com/victorlin,https://github.com/balanced/billy
hubot,tombell,1,Tom Bell,2011-11-09T16:27:53Z,3,3,6,"Merge pull request #167 from mrtazz/patch-1

allow underscore in username and dash and underscore in roles",https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-09T19:09:28Z,73,26,99,"Merge pull request #168 from pescuma/gtalk_users

Handle users and notify online/offline in gtalk",https://github.com/atmos,https://github.com/balanced/hubot
balanced-node,matthewfl,1,Matthew Francis-Landau,2013-06-12T20:27:41Z,119,114,233,changing more over to using python template stuff:,https://github.com/matthewfl,https://github.com/balanced/balanced-node
hubot,tombell,1,Tom Bell,2011-11-10T07:25:31Z,9,4,13,Update README with v2.0.0 intentions,https://github.com/tombell,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-07-15T19:03:05Z,228,4,232,Edit customer info modal,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
hubot,tombell,1,Tom Bell,2011-11-10T14:13:51Z,1,1,2,"Merge pull request #170 from tacoe/master

Updated Flowdock to new adapter model",https://github.com/tombell,https://github.com/balanced/hubot
active_merchant,External,-1,John Duff,2011-04-07T18:11:12Z,206,25,231,"Add refund method to gateways for doing reference based refunds,
deprecation warning in credit method when using a transaction reference",https://github.com/jduff,https://github.com/balanced/active_merchant
www.balancedpayments.com,kleinsch,1,Nick Kleinschmidt,2013-08-05T18:52:21Z,178,53,231,Style footer,https://github.com/kleinsch,https://github.com/balanced/www.balancedpayments.com
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-10-01T19:20:23Z,220,9,229,"Merge pull request #648 from tarunc/print-invoices

Print stylesheet for the app and more specfically for the invoices page",https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-api,matthewfl,1,Matthew Francis-Landau,2013-08-02T02:42:32Z,161,67,228,"fixing some json issues that were missed by check script, updated check script to use find to ensure that it gets all files",https://github.com/matthewfl,https://github.com/balanced/balanced-api
hubot,tombell,1,Tom Bell,2011-11-12T11:53:02Z,6,2,8,"Merge pull request #173 from cldwalker/help

allow help to search help commands",https://github.com/tombell,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-09-19T00:09:08Z,114,114,228,Fix broken modals,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
hubot,tombell,1,Tom Bell,2011-11-13T19:38:42Z,3,2,5,"Merge pull request #175 from disorderlyzen/master

IRC Adapter: added usessl env variable and updated nickserv response matching",https://github.com/tombell,https://github.com/balanced/hubot
balanced-dashboard,External,-1,Tarun Chaudhry,2013-09-26T22:51:28Z,187,40,227,Added transaction lists to invoice details page fixes #623,https://github.com/tarunc,https://github.com/balanced/balanced-dashboard
hubot,tombell,1,Tom Bell,2011-11-13T20:15:23Z,18,11,29,"Merge pull request #148 from Vrtak-CZ:feature/replace-enableSlash-with-alias

Add --alias (--enable-slash is deprecated)",https://github.com/tombell,https://github.com/balanced/hubot
